2......5..34...1...18....74..5..3...34......68.716......1..5...47..8.......4.18..,26,37,18,0,0,0,0,0,0,Easy,
................72.6..1..98...4..1......6...7.9217...581759...66...2...4..9.8....,26,35,20,0,0,0,0,0,0,Easy,
6.7..43.84...........5...7.......6............2...34...3..4.9..7928........72..3.,22,46,13,0,0,0,0,0,0,Easy,
4...1.5..2..7.5..3.5.....6........25.......467.....9..6..4....2.7536.......9...71,25,42,14,0,0,0,0,0,0,Easy,
....8..4..81.36.....6.9..1.......7.........85...357496.3...58.........71...4183..,27,44,10,0,0,0,0,0,0,Easy,
.......2...7.8.3...3.4.6..19....8.3..426.3...1..2.4.9.........7.2.71.6.8.........,25,44,12,0,0,0,0,0,0,Easy,
5...14.2....2.....1...7......1..9...92...871.....6..54.9.8.5....8542....2........,25,46,10,0,0,0,0,0,0,Easy,
.1.....6..5...329.6..12...7.962...3.2..5........7......4.3.9.7.5.....9.......4...,24,48,9,0,0,0,0,0,0,Easy,
1.....8...6.31.9....7.5.....7.2..3....1.9..52.25.....9......53.8.........195...28,26,44,11,0,0,0,0,0,0,Easy,
.5.3.....9.3...28.7.4.825..8..4.5.7...2.9.......8.7.4..........62...3..9...968...,27,39,15,0,0,0,0,0,0,Easy,
312...9.........6.8....3...9..6.4..5.8.........13..48...6...3.9..4...65.2...9....,24,47,10,0,0,0,0,0,0,Easy,
9...52.6..1...8.79..79.1..........1..5.....274...2..8518....29.52........76.....4,28,49,4,0,0,0,0,0,0,Easy,
..9.3.4...2.1...8.5..8.7.29.8....59..4.......1.....3.7...7............42.94.....5,24,42,15,0,0,0,0,0,0,Easy,
......6......63..97......2.93......5.61....7...2...36.....5.7....93.15.681.......,24,40,17,0,0,0,0,0,0,Easy,
8......29...6.........78...75.....836...5.4..2...3..5....2....4.8....93....54.67.,25,48,8,0,0,0,0,0,0,Easy,
4..91.....153...46.76..........7.........42.16........7..4.3.5......271..52...9..,25,40,16,0,0,0,0,0,0,Easy,
54.9...728.1...3..72.34....3.....2.9...5..1...8.....3.4...7..1........25.....57.4,27,38,16,0,0,0,0,0,0,Easy,
2.194......9.3..8......27....8...47.5.74.....49..18.5.9.......3735..9............,26,46,9,0,0,0,0,0,0,Easy,
.....95.1...3...87..1..52...2...8.5........723..9..6..1..8..3....97.3......1...28,26,44,11,0,0,0,0,0,0,Easy,
2.4....95......4.8..1..........1.5..4..9.3.....3426..95..6....36....2...8.....1.6,25,41,15,0,0,0,0,0,0,Easy,
8.....1..3...9.628.....3.9...8..6...9...2.48..61.5.9.2.95.8..1.......5.........6.,26,50,5,0,0,0,0,0,0,Easy,
.........3......1..28..3.6.....821..156....8.....6..3.2..9.7.....9.1.7.2.37..5...,25,41,15,0,0,0,0,0,0,Easy,
.53.29...2..8.....76.....9.6....73.5.8..5..........98......5.7...4....56......2.8,24,46,11,0,0,0,0,0,0,Easy,
.3....72...972.6....7..1.5.....53...76...........9....3....5.64....49...5.2.1..7.,25,43,13,0,0,0,0,0,0,Easy,
.892.4..1....7..5...7..54..9..7...82.2...1.73...53..1............13......3.....9.,25,43,13,0,0,0,0,0,0,Easy,
.9....86.5.3.............23.368...5.....7.49.7..4....2.78..........3....25..6....,23,41,17,0,0,0,0,0,0,Easy,
17.9.4..8..371....49.......946...3........48.........9.3.....9.......6.4..8..65.7,25,48,8,0,0,0,0,0,0,Easy,
921......7.......9....8.....5...2....4...65.1....4...6..26...1.1.5..9.674...21..8,26,40,15,0,0,0,0,0,0,Easy,
7..4..85.......9.1.41......6.7..1...2..8....9......12.5....2..48.9..6.7..........,23,42,16,0,0,0,0,0,0,Easy,
..1..7...9.7215.............4.......7..46..19..3..12...745...2.......3....569...4,25,45,11,0,0,0,0,0,0,Easy,
